banda,situacion,n_en_la_banda,pertinencia,titulo,JUICIO_MANUAL
0.32-0.35,justo por debajo del corte,2042,0.333,A multi-output deep learning model for energy demand and port availability forecasting in EV charging infrastructure,
0.32-0.35,justo por debajo del corte,2042,0.339,Electric two-wheeler vehicle integration into rural off-grid photovoltaic system in kenya,
0.32-0.35,justo por debajo del corte,2042,0.341,Pedestrian Track Estimation with Handheld Monocular Camera and Inertial-Magnetic Sensor for Urban Augmented Reality,
0.32-0.35,justo por debajo del corte,2042,0.341,Novel Methods for Predicting Underground Railway Induced Ground-Borne Vibration,
0.32-0.35,justo por debajo del corte,2042,0.348,A Deep Learning Framework for Traffic Flow Prediction Based on Weighted Graph Convolutional Long Short Term Memory Network,
0.35-0.38,justo por encima del corte,2889,0.35,Speed limiter integrated fatigue analyzer (SLIFA): Engineering design and concept,
0.35-0.38,justo por encima del corte,2889,0.351,Anisotropy of the polyarenes distribution in the urban soil-plant systems under the conditions of transport pollution,
0.35-0.38,justo por encima del corte,2889,0.362,"Ecological network analysis for water pollution metabolism in urban water use system: Case study of fuzhou, china",
0.35-0.38,justo por encima del corte,2889,0.365,Echo state network ensembles for surrogate models with an application to urban mobility,
0.35-0.38,justo por encima del corte,2889,0.365,Cross-Modal Pedestrian Behavior Prediction: A Dual-Task Approach With Progressive Denoising Attention and CVAE,
0.35-0.38,justo por encima del corte,2889,0.367,An innovational GNN-based Urban Traffic-flow measuring approach using Dynamic Vision Sensor,
0.35-0.38,justo por encima del corte,2889,0.367,Vehicle emission prediction using remote sensing data and machine learning techniques,
0.35-0.38,justo por encima del corte,2889,0.367,Construction of Spatio-Temporal Feature Dynamic Traffic Prediction Model for Attention Mechanism Optimization in the Context of Smart Cities,
0.35-0.38,justo por encima del corte,2889,0.368,Impact of evaporative cooling due to wetting of urban materials on local thermal comfort in a street canyon,
0.35-0.38,justo por encima del corte,2889,0.368,"Principles and Methods for Shaping the Architectural and Artistic Identity of Cities Through the Use of Composite Materials in Critical Infrastructure: Innovations in Safety, Durability, and Aesthetic Integration",
0.35-0.38,justo por encima del corte,2889,0.378,Application of Smart Windows Equipped with Radiant Internal Curtains to Improve Thermal Comfort in Urban Transport Vehicles,
0.35-0.38,justo por encima del corte,2889,0.378,AI-Driven Policy Frameworks for Net-Zero Economies: Digital Pathways to Decarbonization,
0.55-0.70,claramente por encima,19687,0.558,Hadoop-based spatio-temporal analysis of urban public transportation big data,
0.55-0.70,claramente por encima,19687,0.567,Do better street configurations mean higher land prices? Nonlinear and spatial heterogeneity effects revealed by GeoShapley,
0.55-0.70,claramente por encima,19687,0.572,How to improve the urban logistics sector in large cities of developing countries: The case of Casablanca,
0.55-0.70,claramente por encima,19687,0.576,The Game Between Quality Induction and Traffic Constraint: A Non-Linear Threshold Study of Park Travel Carbon Emissions from an Urban–Rural Differentiation Perspective,
0.55-0.70,claramente por encima,19687,0.577,Planning of Ring Road Connecting the Suburbs—A Case Study,
0.55-0.70,claramente por encima,19687,0.578,"Space-Time behavior survey for smart travel planning in beijing, china",
0.55-0.70,claramente por encima,19687,0.61,Measurement of the urban sprawl of Casablanca between 1984 and 2018 and the comparison of its evolution with the evolutions of the population and the private and public transport equipment,
0.55-0.70,claramente por encima,19687,0.62,Participatory infrastructures: The politics of mobility platforms,
0.55-0.70,claramente por encima,19687,0.62,Urban Aesthetics and Technology,
0.55-0.70,claramente por encima,19687,0.628,"ITrip, a framework to enhance urban mobility by leveraging various data sources",
0.55-0.70,claramente por encima,19687,0.638,"Design of Urban Mobility Services for an Intermediate City in a Developing Country, Based on an Intelligent Transportation System Architecture",
0.55-0.70,claramente por encima,19687,0.642,A time-based gravity model of urban mobility and its comparison with a distance-based model,
